Line,X,Y,Ch1,Ch2,Ch3,Ch4
Livs0125s2a,287583.81,2476410.88,-64.29,-20.43,-4.89,-0.23
Livs0125s2a,287583.8,2476410.88,-64.06,-20.83,-4.91,-0.15
Livs0125s2a,287583.79,2476410.88,-63.75,-21.07,-4.91,-0.15
Livs0125s2a,287583.79,2476410.88,-64.01,-21,-4.91,-0.16
Livs0125s2a,287583.78,2476410.88,-63.7,-21.17,-4.91,-0.15
Livs0125s2a,287583.77,2476410.89,-63.46,-21.08,-4.91,-0.23
Livs0125s2a,287583.77,2476410.89,-63.47,-21,-4.98,-0.15
Livs0125s2a,287583.76,2476410.89,-63.88,-20.84,-4.92,-0.06
Livs0125s2a,287583.75,2476410.89,-63.79,-21.1,-4.82,-0.06
Livs0125s2a,287583.74,2476410.89,-63.25,-21.25,-4.83,-0.08
Livs0125s2a,287583.73,2476410.89,-63.03,-21.1,-4.9,-0.07
Livs0125s2a,287583.73,2476410.89,-63.35,-20.86,-4.99,-0.16
Livs0125s2a,287583.72,2476410.89,-63.83,-20.45,-4.91,-0.16
Livs0125s2a,287583.73,2476410.9,-64.08,-20.22,-4.75,-0.07
Livs0125s2a,287583.74,2476410.9,-63.92,-20.63,-4.84,0.01
Livs0125s2a,287583.75,2476410.9,-63.52,-20.94,-4.75,0.09
Livs0125s2a,287583.76,2476410.9,-63.21,-21.04,-4.83,0
Livs0125s2a,287583.77,2476410.9,-63.29,-20.87,-4.68,0
Livs0125s2a,287583.78,2476410.9,-63.71,-20.79,-4.68,-0.07
Livs0125s2a,287583.79,2476410.9,-64.13,-20.72,-4.67,0.01
Livs0125s2a,287583.8,2476410.9,-64.21,-21.04,-4.66,-0.07
Livs0125s2a,287583.81,2476410.9,-63.82,-21.52,-4.66,-0.15
Livs0125s2a,287583.83,2476410.9,-63.49,-21.76,-4.74,-0.08
Livs0125s2a,287583.86,2476410.9,-63.72,-21.51,-4.75,-0.15
Livs0125s2a,287583.91,2476410.89,-64.37,-20.96,-4.99,-0.23
Livs0125s2a,287583.94,2476410.89,-64.77,-20.63,-5.08,-0.24
Livs0125s2a,287583.99,2476410.88,-64.55,-20.72,-4.91,-0.07
Livs0125s2a,287584.03,2476410.87,-63.9,-20.89,-4.83,-0.07
Livs0125s2a,287584.07,2476410.87,-63.76,-20.81,-4.84,0.09
Livs0125s2a,287584.11,2476410.86,-63.68,-21.12,-4.84,0.02
Livs0125s2a,287584.14,2476410.85,-63.61,-21.62,-4.84,0.02
Livs0125s2a,287584.19,2476410.85,-63.47,-21.79,-5.01,-0.08
Livs0125s2a,287584.24,2476410.84,-63.79,-21.7,-5.01,-0.15
Livs0125s2a,287584.33,2476410.85,-64.27,-21.47,-5.07,-0.23
Livs0125s2a,287584.42,2476410.85,-64.67,-21.31,-4.99,-0.16
Livs0125s2a,287584.51,2476410.85,-64.54,-21.64,-5,-0.15
Livs0125s2a,287584.6,2476410.85,-64.47,-21.71,-5,-0.07
Livs0125s2a,287584.69,2476410.85,-64.71,-21.56,-5.09,-0.16
Livs0125s2a,287584.78,2476410.86,-64.78,-21.48,-5,-0.14
Livs0125s2a,287584.87,2476410.86,-64.65,-21.56,-4.92,-0.15
Livs0125s2a,287584.96,2476410.86,-64.57,-21.49,-4.99,-0.15
Livs0125s2a,287585.06,2476410.86,-64.4,-21.63,-4.99,-0.15
Livs0125s2a,287585.14,2476410.86,-64.24,-21.72,-4.91,-0.06
Livs0125s2a,287585.26,2476410.86,-64.65,-21.47,-5,-0.14
Livs0125s2a,287585.36,2476410.86,-64.64,-21.56,-4.84,-0.08
Livs0125s2a,287585.48,2476410.87,-64.42,-21.41,-4.93,-0.06
Livs0125s2a,287585.57,2476410.87,-64.26,-21.01,-4.85,0.01
Livs0125s2a,287585.69,2476410.87,-63.82,-21.17,-4.84,0
Livs0125s2a,287585.8,2476410.87,-63.73,-21.01,-4.93,0.02
Livs0125s2a,287585.91,2476410.87,-63.58,-20.76,-4.86,-0.15
Livs0125s2a,287586.01,2476410.87,-63.57,-20.52,-4.85,-0.08
Livs0125s2a,287586.11,2476410.87,-63.2,-20.39,-4.6,-0.08
Livs0125s2a,287586.22,2476410.87,-62.01,-20.24,-4.36,0.18
Livs0125s2a,287586.28,2476410.86,-60.25,-19.76,-3.89,0.33
Livs0125s2a,287586.36,2476410.86,-57.92,-18.31,-3.08,0.82
Livs0125s2a,287586.44,2476410.85,-52.21,-14.19,-1.63,1.46
Livs0125s2a,287586.51,2476410.84,-45.12,-8.49,0.78,2.67
Livs0125s2a,287586.59,2476410.84,-33.56,0.44,7.21,5.63
Livs0125s2a,287586.66,2476410.83,-16.59,13.23,14.3,9.09
Livs0125s2a,287586.74,2476410.83,6.66,30.7,24.11,13.68
Livs0125s2a,287586.81,2476410.82,38.43,54.25,37.46,20.05
Livs0125s2a,287586.88,2476410.82,81.69,84.98,50.56,26.32
Livs0125s2a,287586.96,2476410.82,95.67,93.91,59.89,30.51
Livs0125s2a,287587.03,2476410.82,94.39,91.49,59.01,29.79
Livs0125s2a,287587.12,2476410.83,80.56,80.15,53.47,26.96
Livs0125s2a,287587.18,2476410.83,59.08,63.5,44.87,22.78
Livs0125s2a,287587.27,2476410.84,24.24,37.43,35.36,18.27
Livs0125s2a,287587.34,2476410.84,1.46,21.01,22.42,12.07
Livs0125s2a,287587.42,2476410.85,-18.4,7.35,14.61,8.47
Livs0125s2a,287587.49,2476410.86,-34.42,-3.11,8.35,5.63
Livs0125s2a,287587.57,2476410.86,-45.82,-10.6,3.51,3.7
Livs0125s2a,287587.64,2476410.87,-55.81,-16.56,0.04,2.34
Livs0125s2a,287587.73,2476410.87,-59.9,-18.95,-2.12,1.38
Livs0125s2a,287587.84,2476410.86,-62.5,-20.26,-3.8,0.74
Livs0125s2a,287587.94,2476410.86,-63.77,-20.97,-4.45,0.42
Livs0125s2a,287588.03,2476410.85,-64.43,-21.29,-4.7,0.09
Livs0125s2a,287588.14,2476410.85,-64.76,-21.46,-4.77,0.01
Livs0125s2a,287588.23,2476410.84,-64.94,-21.55,-4.95,-0.07
Livs0125s2a,287588.34,2476410.84,-65.2,-21.48,-5.01,-0.15
Livs0125s2a,287588.43,2476410.83,-65.13,-21.57,-5.1,-0.07
Livs0125s2a,287588.53,2476410.83,-65.13,-21.4,-5.09,-0.15
Livs0125s2a,287588.64,2476410.82,-65.6,-21.23,-5.11,-0.23
Livs0125s2a,287588.73,2476410.82,-65.3,-21.4,-5.01,-0.08
Livs0125s2a,287588.83,2476410.83,-64.81,-21.56,-4.94,-0.07
Livs0125s2a,287588.91,2476410.83,-64.81,-21.65,-4.94,0.02
Livs0125s2a,287589.01,2476410.83,-64.73,-21.71,-4.87,0.01
Livs0125s2a,287589.1,2476410.83,-64.84,-21.56,-4.94,-0.16
Livs0125s2a,287589.2,2476410.83,-65.01,-21.65,-5.12,-0.07
Livs0125s2a,287589.3,2476410.83,-64.53,-21.66,-5.11,-0.15
Livs0125s2a,287589.38,2476410.83,-64.28,-21.49,-5.11,-0.15
Livs0125s2a,287589.48,2476410.83,-64.02,-21,-4.78,-0.07
Livs0125s2a,287589.57,2476410.83,-63.06,-20.44,-4.39,0.17
Livs0125s2a,287589.66,2476410.83,-59.77,-18.27,-3.75,0.51
Livs0125s2a,287589.74,2476410.83,-56,-15.38,-2.45,1.06
Livs0125s2a,287589.83,2476410.83,-50.4,-11.21,0.61,2.52
Livs0125s2a,287589.93,2476410.83,-43,-5.73,3.65,4.1
Livs0125s2a,287590.01,2476410.83,-36.66,-1.07,6.32,5.24
Livs0125s2a,287590.1,2476410.83,-32.97,1.48,7.61,5.81
Livs0125s2a,287590.19,2476410.83,-34.57,-0.12,7.43,5.71
Livs0125s2a,287590.28,2476410.83,-39.01,-3.73,5.11,4.51
Livs0125s2a,287590.36,2476410.83,-45.04,-8,2.85,3.39
Livs0125s2a,287590.45,2476410.83,-51,-12.01,0.6,2.26
Livs0125s2a,287590.55,2476410.83,-57.58,-16.52,-1.09,1.46
Livs0125s2a,287590.64,2476410.83,-60.62,-18.53,-2.62,0.82
Livs0125s2a,287590.73,2476410.82,-62.82,-19.73,-3.83,0.32
Livs0125s2a,287590.82,2476410.82,-63.94,-20.55,-4.39,0.08
Livs0125s2a,287590.92,2476410.82,-64.41,-21.11,-4.7,0.09
Livs0125s2a,287591,2476410.81,-64.65,-21.25,-4.71,0.02
Livs0125s2a,287591.1,2476410.81,-64.32,-21.17,-4.55,0.09
Livs0125s2a,287591.19,2476410.81,-64.1,-21.18,-4.48,0.18
Livs0125s2a,287591.29,2476410.81,-63.68,-21.35,-4.62,0.08
